asset_index,top_number,closing_id,median_down
31,1,1,2.687756415206032
31,2,2,1.8661289089898234
31,3,7,1.1772062428469887
31,4,29,1.1568048154352697
31,5,4,1.0445014027736148
31,6,8,1.0445014027736148
31,7,27,1.0445014027736148
31,8,30,1.0445014027736148
31,9,19,0.9953600007720548
31,10,26,0.9953600007720548
65,1,1,2.933091042796645
65,2,2,1.9826334339317606
65,3,86,1.4598888194940667
65,4,90,1.4598888194940667
65,5,123,1.4502412268165574
65,6,126,1.4502412268165574
65,7,129,1.4502412268165574
65,8,103,1.444293506178985
65,9,108,1.444293506178985
65,10,124,1.444293506178985
53,1,45,1.3530151161379222
53,2,64,1.3530151161379222
53,3,80,1.3354186926846916
53,4,83,1.3354186926846916
53,5,76,1.3178222692314607
53,6,82,1.3178222692314607
53,7,85,1.3178222692314607
53,8,86,1.3047744112258197
53,9,29,1.2988051807456165
53,10,36,1.2975541581769097
34,1,141,1.9044688009453403
34,2,8,1.865305159833463
34,3,140,1.865305159833463
34,4,127,1.862896180843284
34,5,131,1.862896180843284
34,6,138,1.862896180843284
34,7,126,1.8604872018531053
34,8,129,1.8604872018531053
34,9,133,1.8604872018531053
34,10,99,1.8483532158269784
28,1,1,6.726766093859276
28,2,4,3.645711673227113
28,3,8,3.645711673227113
28,4,2,3.5214257708547785
28,5,9,2.746321221401262
28,6,10,2.212844341639795
28,7,12,2.212844341639795
28,8,11,2.029887555607603
28,9,14,2.029887555607603
28,10,19,2.029887555607603
26,1,1,3.4658431999764945
26,2,2,2.035037030090285
26,3,8,0.7221329794560316
26,4,7,0.6631819198300535
26,5,9,0.6631819198300535
26,6,40,0.6479665018123528
26,7,43,0.6479665018123528
26,8,36,0.6260986810082141
26,9,42,0.6260986810082141
26,10,44,0.6260986810082141
27,1,1,4.103732363404192
27,2,2,2.5810156954231127
27,3,8,1.7166281052281092
27,4,7,1.692803265916634
27,5,9,1.3874635663350714
27,6,33,1.1798700990078241
27,7,29,1.1190845632249289
27,8,31,1.1190845632249289
27,9,36,1.1190845632249289
27,10,83,1.0694938526104694
44,1,26,1.0957935598833664
44,2,23,1.0409798940252863
44,3,27,1.0409798940252863
44,4,19,0.9971106374842285
44,5,29,0.9971106374842285
44,6,11,0.9603356070841129
44,7,15,0.9532413809431705
44,8,30,0.9532413809431705
44,9,14,0.916466350543055
44,10,31,0.916466350543055
12,1,1,2.888185984771268
12,2,2,2.194755182439298
12,3,4,1.5013243801073286
12,4,7,1.4823330132683663
12,5,8,1.463341646429404
12,6,14,1.4319216054395691
12,7,10,1.4005015644497343
12,8,12,1.4005015644497343
12,9,15,1.4005015644497343
12,10,23,1.4005015644497343
22,1,8,0.9613973605166362
22,2,33,0.7733572048747316
22,3,36,0.7258944233068669
22,4,9,0.6925602478451747
22,5,40,0.6784316417390024
22,6,85,0.6621000414099301
22,7,88,0.6621000414099301
22,8,91,0.6621000414099301
22,9,93,0.6621000414099301
22,10,96,0.6621000414099301
47,1,1,3.136674297162766
47,2,2,1.9132988811989178
47,3,31,1.248412672807195
47,4,30,1.2227572686038302
47,5,33,1.2227572686038302
47,6,14,1.1830656068797218
47,7,26,1.1830656068797218
47,8,29,1.1830656068797218
47,9,36,1.1830656068797218
47,10,42,1.1830656068797218
1,1,1,4.270972593951552
1,2,4,4.060682469617756
1,3,2,2.3760611470261153
1,4,7,2.282539532687212
1,5,30,0.8308989322114135
1,6,43,0.8308989322114135
1,7,48,0.8308989322114135
1,8,14,0.6676477639840406
1,9,26,0.6676477639840406
1,10,29,0.6676477639840406
52,1,23,1.2905056213020956
52,2,19,1.2828567669399051
52,3,26,1.2828567669399051
52,4,12,1.275207912577715
52,5,15,1.275207912577715
52,6,27,1.275207912577715
52,7,30,1.275207912577715
