close_date,MXWDU_Index,HDB_US_Equity,NTES_US_Equity,BAP_US_EQUITY,NVO_US_Equity,ACN_US_Equity,6861_JT_Equity,MELI_US_Equity,AIR_FP_Equity,TSM_US_Equity,ASML_US_Equity,ABEV_US_EQUITY,BAX_US_EQUITY,KER_FP_Equity,MC_FP_Equity,ADS_GR_Equity,NESN_SW_Equity,UBI_FP_Equity,ITUB_US_Equity,BRFS_US_Equity,CHKP_US_EQUITY,AZN_US_Equity,BBD_US_Equity,UL_US_Equity,PA1_COMB_Comdty,GC1_Comdty,BAYN_GR_Equity,DEO_US_Equity,DG_FP_Equity,RIO_US_Equity,LRLCY_US_Equity,NVS_US_Equity,SNY_US_Equity,GSK_US_Equity,RY_US_Equity,TTM_US_Equity,IBE_SM_Equity,SAP_US_Equity,BIDU_US_EQUITY,EWL_US_EQUITY,EEM_US_EQUITY,BRK/B_US_Equity,CRH_US_EQUITY,VALE_US_Equity,EWM_US_EQUITY,EWS_US_EQUITY,EWH_US_EQUITY,EWZ_US_EQUITY,EWA_US_EQUITY,TM_US_Equity,EWN_US_EQUITY,EWC_US_EQUITY,SLV_US_EQUITY,EWY_US_EQUITY,EWG_US_EQUITY,EWQ_US_EQUITY,EZA_US_EQUITY,VGK_US_EQUITY,ECH_US_EQUITY,EWT_US_Equity,SIEGY_US_Equity,SNE_US_Equity,EWJ_US_EQUITY,EWU_US_EQUITY,EWI_US_EQUITY,TOT_US_Equity,EWP_US_EQUITY,HMC_US_Equity,SAN_US_Equity,TEVA_US_Equity,MUFG_US_Equity
30/11/2007,339.05,12.4521,17.672,54.2589,9.9588,27.164,5148.5,41.0952,18.4493,6.2326,30.2859,1.9476,25.7033,74.6,57.76,37.747,37.3898,29.755,5.4405,10.4595,22.82,13.4062,5.1415,24.1534,348.65,782.2,39.812,63.73,33.9563,59.514,22.1708,32.2766,28.78,27.8777,33.1005,16.652,5.8276,42.3886,38.196,20.8448,39.55,93.8,24.0302,21.5476,23.598,17.3417,15.2624,54.8364,17.1304,83.1978,22.1188,24.5429,13.9,55.0644,26.1692,27.0109,42.8674,47.478,40.8128,21.7555,49.782,48.2115,46.15,30.741,45.8635,41.9211,37.7542,25.523,8.7309,35.6458,7.0055
31/12/2007,333.92,12.0781,16.53,58.1536,10.137,28.3194,5510.2,71.5895,18.3568,6.2578,27.2704,1.8496,25.0131,71.34,57.58,42.532,35.806,34.735,5.1098,10.7882,21.96,12.1159,5.1193,24.7689,378.2,838,44.052,60.388,31.8479,53.4567,22.725,31.0145,27.6096,26.6658,31.6732,16.8215,5.3777,42.2479,38.98,20.0161,38.994,94.72,22.0747,20.3575,24.841,17.2763,15.0242,55.4804,16.3174,78.5515,22.1611,25.0091,14.697,54.0155,26.4292,26.5792,40.4012,46.494,40.1592,21.0933,51.6156,48.5063,44.04,29.9,44.6665,42.7915,36.0787,24.7305,8.7798,37.1234,6.6763
31/01/2008,301.34,11.0466,15.754,54.6629,9.8072,27.2112,4522.9,35.882,14.3289,5.8117,23.1742,1.8494,26.0946,60.89,47.72,35.542,33.2583,30.165,4.6013,10.0151,21.3,11.9122,4.4106,21.7109,394.5,922.7,38.887,56.8279,28.5594,51.8081,19.3994,29.0044,24.7959,25.073,31.5942,16.5004,5.3228,39.4838,27.995,19.2306,35.515,91,24.4796,18.7,25.505,15.2593,13.702,52.5861,15.219,80.1422,19.9615,23.5765,16.818,47.2949,23.2673,23.7627,36.4359,42.3181,39.4481,19.2127,43.4172,42.4318,42.15,27.516,41.2223,37.7042,32.4453,23.5365,7.2144,36.7719,7.0627
29/02/2008,309.51,10.1022,18.701,56.6521,10.6855,27.7063,4922.6,35.0293,14.6569,6.1196,20.9866,2.1217,25.431,58.88,47.52,35.033,34.3944,27.95,5.1064,10.5585,21.92,11.0086,5.1263,20.8372,571.95,975,35.905,57.7636,28.8989,58.2835,18.6076,28.9514,22.4915,23.5721,31.4186,15.6263,5.0196,39.2355,25.133,19.5849,36.223,93.49,23.7961,21.7096,24.451,15.2217,12.647,57.426,15.0265,80.3124,20.0604,24.9235,19.668,47.537,23.1032,23.7137,36.8024,42.1939,40.4982,21.6547,42.6193,42.1728,41.52,27.193,40.4358,39.0563,32.536,22.835,7.3215,39.2937,6.3042
31/03/2008,301.55,9.0958,16.748,54.6781,10.9734,27.6435,4587.1,38.5273,12.6219,6.4525,21.6229,1.9673,25.0076,60.87,49.1,35.241,34.1707,27.285,4.5877,10.057,22.4,11.1139,4.5378,22.3198,450.2,916.2,35.863,57.953,28.792,52.8188,20.2308,30.1766,22.7644,22.7776,29.161,13.9317,5.1346,41.0231,23.963,19.9314,34.863,89.46,24.7469,21.585,23.124,15.9985,12.2975,52.9573,14.5849,75.6242,20.9776,23.5998,17.041,46.5769,23.4985,24.4196,35.1628,42.7469,43.6071,22.2441,36.3696,35.8949,40.99,26.771,40.0697,38.3414,34.809,21.6427,8.2109,36.9875,6.2704
30/04/2008,318.56,10.5004,19.46,62.4586,10.8862,29.5141,5295.6,49.0119,13.5805,7.062,25.0929,1.9362,26.9538,54.52,51.13,34.256,35.0469,32.3,5.6558,12.2697,23.62,12.2812,5.5389,22.2338,422.75,865.1,39.578,58.3663,29.8232,60.2778,19.0704,29.6464,23.3951,23.9592,30.3052,14.7522,4.9202,41.5693,36.56,19.8929,38.049,89.14,24.9211,24.5247,23.3,17.0006,13.3252,62.0941,15.7286,76.0814,21.7395,25.2739,16.72,50.1919,24.371,25.482,38.9729,44.4993,42.7207,23.2405,39.5446,41.0188,44.01,28.361,42.4156,43.5167,35.5458,23.8513,8.8643,37.46,7.9209
30/05/2008,321.76,9.2856,19.834,64.868,10.349,32.0843,5039.4,45.4944,12.7355,7.1939,26.5086,1.8139,26.4262,54.48,53.24,38.271,36.1399,31.15,6.1937,14.6248,24.83,12.7814,5.8916,22.323,435,887.3,41.265,56.0288,31.1113,61.9451,19.7158,30.8363,23.6264,24.1873,32.4468,12.3619,4.8522,45.8263,34.506,19.9545,39.253,89.96,23.9016,24.964,22.695,17.2137,13.2978,68.2265,16.5722,76.4937,22.0205,27.2593,16.673,49.5991,25.0049,26.2088,40.3019,44.7976,42.5405,22.7774,37.9888,45.1395,44.87,28.299,42.7952,46.0672,35.3871,24.9631,8.7845,36.7299,7.3154
30/06/2008,294.84,6.6708,18.997,63.8265,10.4599,32.0057,5061.4,33.4207,10.2087,6.8547,21.5891,1.6738,27.7521,47.81,47.13,33.896,32.5506,27.865,5.1218,12.1317,23.67,12.4421,5.0425,19.189,464.75,928.3,38.6,52.6437,25.0535,63.4841,17.5458,32.4208,21.0371,24.0189,28.303,9.2255,4.4496,43.7365,31.296,18.6262,35.615,80.24,18.4166,22.4789,20.687,15.7145,11.7695,61.826,14.9869,70.4596,18.958,25.9088,17.263,43.1085,22.7998,23.381,36.2713,40.7708,38.1788,19.8302,36.7669,39.1825,41.52,26.316,37.9774,45.0166,31.3153,25.7121,7.6454,36.7861,6.3425
31/07/2008,283.83,7.2777,19.791,57.5232,10.0653,32.8232,4733.2,34.7386,10.3359,6.3142,20.1646,1.5931,29.779,47.45,50.23,33.279,32.4942,31.745,5.3735,12.2831,22.83,14.2032,5.2345,18.5001,383.5,913.9,40.084,50.1565,23.4475,53.5575,17.0214,34.9596,22.1323,25.5732,29.5225,8.5829,4.6659,48.5205,34.715,18.5244,33.654,76.58,17.3906,18.8453,20.349,15.6132,11.6027,56.252,14.0867,64.5005,18.3106,24.4946,17.53,42.2132,22.5985,22.9093,36.6887,39.5964,39.5915,18.4408,40.5227,33.7449,39.96,25.236,36.7496,40.3867,30.8987,24.1707,8.145,36.0151,6.328
29/08/2008,269.89,8.4236,22.764,54.6629,8.8053,32.5088,4453,29.913,12.9983,6.4538,20.9255,1.6649,29.4101,53.91,51.48,33.752,34.2712,31.965,4.818,11.2124,24.49,14.406,4.5409,18.1151,303.8,831.2,39.027,53.0214,24.9571,48.6993,16.0937,32.7743,22.4426,25.7984,29.2726,9.0511,4.3889,47.0685,31.372,17.9293,31.529,78.04,17.0421,16.6615,18.519,14.2456,11.0191,50.8096,13.4865,67.154,18.4324,23.7367,13.37,36.5459,21.2199,22.1401,35.083,38.0739,37.2173,18.2865,36.3229,34.2197,37.99,24.385,35.0419,37.9476,28.9545,24.6014,7.2183,38.1292,5.5064
30/09/2008,228.71,7.9079,19.878,48.3829,8.1144,29.8678,4168.9,19.7191,10.1748,6.2278,15.5813,1.4891,28.5782,42.39,43.71,31.869,33.9892,24.4,4.439,8.7126,22.74,12.9802,3.9726,18.3785,202.7,874.2,37.594,50.0492,21.1863,32.2566,16.013,31.1249,20.8092,23.8706,30.7721,7.0316,3.803,44.8443,24.823,16.4652,26.9,87.9,13.8886,12.0176,17.226,12.3335,9.178,38.99,11.6294,65.3161,15.3172,20.5801,11.85,33.556,18.5094,19.4116,31.2599,33.1647,33.2131,15.1569,31.3452,27.9332,35.49,21.147,30.3988,32.0348,26.8888,22.918,6.3851,36.8807,6.3544
31/10/2008,178.17,6.1066,19.616,30.522,8.4804,26.3905,3709.9,13.2462,10.9718,5.4901,15.5282,1.1588,26.34,33.54,36.72,22.932,31.7326,20.585,2.8063,6.5111,20.22,12.5602,2.888,15.2377,199.55,718.2,32.025,45.2013,17.9807,24.0302,12.0199,30.0352,20.0179,21.5245,25.0847,5.3701,2.9987,29.6528,20.6,14.3826,20.019,76.8,14.2859,8.4171,14.223,8.9019,7.2395,26.0764,8.4871,57.9243,11.387,14.9858,9.58,23.9867,14.3118,14.8762,21.9954,25.9253,25.3466,12.3641,20.0811,21.0291,29.97,16.968,23.2437,29.2685,20.5123,18.8535,4.6517,34.5369,4.5732
